recall_id,keypoints,attempt,summary_text,segment_ids,correlation
summary_gpt4o_3_3.json,3,3,"1. My best friend pushed me into the pool to save me from a bee. 2. I fell into the pool at my cousin's wedding reception in a fancy hotel garden. 3. Everyone laughed, but my dress was ruined, and I almost landed on the cake.","[1, 4, 5, 7, 11, 12, 2, 6, 3, 13, 14, 16, 18]",0.6008
summary_gpt4o_3_1.json,3,1,"1. My best friend pushed me into the pool to save me from a bee. 2. Everyone was at my cousin's wedding dressed nicely when this happened. 3. My friend laughed and apologized, as my dress got ruined.","[1, 5, 7, 11, 12, 2, 3, 14, 15, 16]",0.6007
summary_gpt4o_7_2.json,7,2,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. She pushed me to save me from a bee. 4. My aunt had just handed me a glass of champagne. 5. I tumbled into the water and gasped for air. 6. My friend laughed and apologized. 7. My cousin joked I nearly landed on the cake.,"[1, 2, 5, 7, 8, 12, 13, 14, 15, 18]",0.5845
summary_gpt4o_10_2.json,10,2,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress. 4. She saw a bee hovering near my face. 5. She tried to save me from being stung. 6. My aunt handed me a glass of champagne. 7. My friend didn't think things through. 8. I tumbled into the water with her shove. 9. She laughed and apologized profusely. 10. My cousin said I almost landed on the cake.,"[1, 2, 3, 5, 7, 8, 10, 11, 12, 14, 15, 18]",0.5662
summary_gpt4o_8_1.json,8,1,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She pushed me because a bee was near my face. 4. My aunt had just handed me a glass of champagne. 5. I warned her to be careful. 6. I tumbled into the water because of her shove. 7. She laughed and apologized when I resurfaced. 8. My cousin said I nearly landed on the cake.,"[1, 2, 5, 7, 8, 9, 11, 12, 13, 14, 15, 18]",0.5407
summary_gpt4o_8_2.json,8,2,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She pushed me to save me from a bee. 4. I was holding a glass of champagne. 5. Friends sometimes act impulsively. 6. I fell into the water and resurfaced. 7. She laughed and apologized. 8. My cousin joked I almost landed on the cake.,"[1, 11, 12, 2, 3, 6, 5, 7, 8, 10, 13, 14, 15, 18]",0.4504
summary_gpt4o_11_3.json,11,3,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. Everyone was dressed to impress. 4. She spotted a bee near my face. 5. She tried to save me from being stung. 6. I was at a fancy hotel garden. 7. My aunt had just given me champagne. 8. I warned her to be careful. 9. She shoved me, and I fell in the water. 10. She laughed and apologized profusely. 11. My cousin said I almost landed on the cake.","[1, 2, 3, 5, 7, 6, 8, 9, 11, 12, 14, 15, 18]",0.4489
summary_gpt4o_5_1.json,5,1,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She did it to save me from a bee near my face. 4. I resurfaced gasping and she laughed and apologized. 5. My beautiful dress was ruined, and I dried off.","[1, 11, 12, 2, 6, 5, 7, 13, 14, 15, 16, 17]",0.4388
summary_gpt4o_11_2.json,11,2,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress at the wedding. 4. She spotted a bee hovering near my face. 5. She tried to save me from being stung by the bee. 6. My aunt had just handed me a glass of champagne. 7. I warned her to be careful with the glass. 8. She gave me a little shove into the pool. 9. She laughed and apologized after I resurfaced. 10. My beautiful dress was ruined by the water. 11. My cousin joked I almost landed on the cake.,"[1, 2, 3, 5, 7, 8, 9, 11, 13, 14, 15, 16, 18]",0.431
summary_gpt4o_14_2.json,14,2,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress. 4. My friend spotted a bee near my face. 5. We were at a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt had just handed me champagne. 8. I warned her to be careful. 9. Friends don't always think things through. 10. She gave me a little shove. 11. I tumbled into the water. 12. She started laughing and apologized. 13. My beautiful dress was ruined. 14. My cousin joked about almost landing on the cake.,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18]",0.3796
summary_gpt4o_15_2.json,15,2,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. Everyone was dressed to impress. 4. She spotted a bee hovering near my face. 5. The reception was at a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt had handed me a glass of champagne. 8. I warned her to be careful. 9. Friends don't always think things through. 10. She gave me a little shove. 11. I tumbled into the water. 12. I resurfaced gasping for air. 13. She apologized profusely while laughing. 14. My beautiful dress was ruined. 15. My cousin joked about me almost landing on the cake.,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18]",0.3553
summary_gpt4o_15_3.json,15,3,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress. 4. A bee hovered near my face. 5. We were at a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt had just handed me champagne. 8. I warned her to be careful. 9. Friends don't always think things through. 10. She gave me a little shove. 11. I tumbled into the water. 12. I gasped for air when I resurfaced. 13. She laughed and apologized profusely. 14. My beautiful dress was ruined. 15. My cousin joked about me landing on the cake.,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18]",0.3553
summary_gpt4o_12_3.json,12,3,"1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress. 4. A bee was hovering near my face. 5. My friend tried to save me from the bee. 6. My aunt handed me a glass of champagne. 7. I warned my friend to be careful. 8. My friend did not think things through. 9. She pushed me, and I fell into the water. 10. I gasped for air and resurfaced. 11. My friend laughed and apologized. 12. My cousin noted I nearly landed on the cake.","[1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18]",0.3445
summary_gpt4o_11_1.json,11,1,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress. 4. She spotted a bee near my face. 5. This was at a fancy hotel garden. 6. My aunt had just handed me champagne. 7. I warned her to be careful. 8. She gave me a little shove. 9. I tumbled into the water. 10. She started laughing and apologized. 11. My cousin joked about the cake.,"[1, 2, 3, 5, 6, 8, 9, 11, 12, 14, 15, 18]",0.3284
summary_gpt4o_4_3.json,4,3,"1. My best friend pushed me into the pool during my cousin's wedding reception. 2. She did it to save me from a bee hovering near my face. 3. I warned her to be careful as I held a glass of champagne. 4. When I resurfaced, she laughed and apologized, and my cousin joked about how close I was to landing on the cake.","[1, 2, 5, 7, 8, 9, 13, 14, 15, 18]",0.3026
summary_gpt4o_13_2.json,13,2,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. Everyone was dressed to impress. 4. My friend spotted a bee near my face. 5. We were at a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt had just handed me a glass of champagne. 8. I warned my friend to be careful. 9. Friends don't always think things through. 10. She gave me a little shove. 11. I tumbled into the water. 12. When I resurfaced, she started laughing and apologized. 13. My cousin said I nearly landed on the cake.","[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 18]",0.2964
summary_gpt4o_9_1.json,9,1,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. My friend spotted a bee near my face. 4. We were at a fancy hotel garden. 5. My aunt handed me a glass of champagne. 6. I warned my friend to be careful. 7. She gave me a little shove into the water. 8. My friend laughed and apologized profusely. 9. My cousin mentioned I almost landed on the cake.,"[1, 2, 5, 6, 8, 9, 11, 14, 15, 18]",0.2865
summary_gpt4o_12_1.json,12,1,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. Everyone was dressed to impress. 4. She spotted a bee near my face. 5. This was at a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt had just handed me champagne. 8. I warned her to be careful. 9. She gave me a little shove. 10. I resurfaced gasping for air. 11. She started laughing and apologized. 12. My cousin said I almost hit the cake.,"[1, 2, 3, 5, 6, 7, 8, 9, 11, 13, 14, 15, 18]",0.2791
summary_gpt4o_9_2.json,9,2,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She spotted a bee hovering near my face at a hotel garden. 4. My aunt had just handed me a glass of champagne. 5. I warned my friend to be careful. 6. She gave me a little shove to save me from the bee. 7. I resurfaced gasping for air and she apologized. 8. My beautiful dress was ruined, so I had to dry off. 9. My cousin joked about me almost landing on the cake.","[1, 2, 5, 6, 8, 9, 7, 11, 13, 15, 16, 17, 18]",0.2791
summary_gpt4o_12_2.json,12,2,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. Everyone was dressed to impress. 4. She spotted a bee near my face. 5. We were at a fancy hotel garden. 6. My aunt handed me a glass of champagne. 7. I warned her to be careful. 8. She gave me a little shove. 9. I tumbled into the water. 10. I resurfaced gasping for air. 11. She started laughing and apologized. 12. My cousin joked about the cake.,"[1, 2, 3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 18]",0.2791
summary_gpt4o_13_1.json,13,1,"1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress during the reception. 4. A bee was hovering near my face. 5. We were at a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt had handed me a glass of champagne. 8. I warned my friend to be careful. 9. Friends don't always think things through. 10. My friend shoved me, and I fell into the pool. 11. I resurfaced, gasping for air. 12. She laughed and apologized profusely. 13. My cousin commented on how close I was to landing on the cake.","[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18]",0.2506
summary_gpt4o_14_1.json,14,1,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress there. 4. She spotted a bee near my face. 5. This was at a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt had just handed me a glass of champagne. 8. I warned her to be careful. 9. Friends don't always think things through. 10. She gave me a little shove. 11. I tumbled into the water. 12. I resurfaced gasping for air. 13. She laughed and apologized profusely. 14. My cousin said I almost landed on the cake.,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18]",0.2506
summary_gpt4o_14_3.json,14,3,"1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress. 4. She spotted a bee near my face. 5. We were at a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt had just given me champagne. 8. I warned her to be careful. 9. Friends don't always think things through. 10. She gave me a little shove. 11. I tumbled into the water. 12. I resurfaced, gasping for air. 13. She laughed and apologized profusely. 14. My cousin said I almost landed on the cake.","[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18]",0.2506
summary_gpt4o_10_1.json,10,1,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. Everyone was dressed to impress. 4. My friend spotted a bee near my face. 5. We were at a fancy hotel garden. 6. My aunt had just handed me a glass of champagne. 7. I warned my friend to be careful. 8. My friend gave me a little shove. 9. I surfaced gasping for air, and she laughed and apologized. 10. My cousin said I almost landed on the cake.","[1, 2, 3, 5, 6, 8, 9, 11, 13, 14, 15, 18]",0.167
summary_gpt4o_3_2.json,3,2,1. My best friend pushed me into the pool to save me from a bee. 2. I ended up in the water during my cousin's wedding at a fancy hotel garden. 3. My friend laughed and apologized while I was upset about my ruined dress.,"[1, 4, 5, 7, 2, 3, 6, 14, 15, 16]",0.1576
summary_gpt4o_13_3.json,13,3,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. Everyone was dressed to impress. 4. She spotted a bee hovering near my face. 5. The location was a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt had just handed me a glass of champagne. 8. I warned her to be careful. 9. Friends don't always think things through. 10. She gave me a little shove. 11. I resurfaced, gasping for air. 12. She started laughing and apologized. 13. My cousin said I almost landed on the cake.","[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 18]",0.1134
summary_gpt4o_15_1.json,15,1,"1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. Everyone was dressed to impress. 4. My friend saw a bee near my face. 5. We were in a fancy hotel garden. 6. She tried to save me from being stung. 7. My aunt gave me a glass of champagne. 8. I warned her to be careful. 9. Friends don't always think things through. 10. She gave me a little shove into the water. 11. I resurfaced, gasping for air. 12. She started laughing and apologizing. 13. My beautiful dress was ruined. 14. I needed to get out and dry off. 15. My cousin said I almost landed on the cake.","[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18]",0.0623
