index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
10,341,0.5156,"I grew up in a neighborhood with a cat lady named Mrs. Baker. Mrs. Baker had a grandson who tried to befriend me. I didn't like him because he had poor manners. He left a note saying he would run away due to nagging about me. We searched for him but found him in my treehouse reading a comic. Officer Dawson advised me to lay low, and I did.",175.81,6,6,1,"My childhood was spent in a community where a woman known for her many cats, Mrs. Baker, resided. Her grandson made attempts to forge a friendship with me, but I found his behavior uncouth and kept my distance. One day, he left behind a message declaring his intention to escape the constant badgering concerning our relationship. A search ensued, only to discover him ensconced in my treehouse, engrossed in a graphic novel. Following this incident, Officer Dawson counseled me to keep a low profile, which I heeded.",517,137.96710202159,0.2669
11,346,0.506,"I grew up with Mrs. Baker, the neighborhood cat lady. Her grandson tried to befriend me, but had poor manners. He left a note saying he would run away because of her nagging. I suggested we look for him and call the police if needed. We found him in the treehouse reading a comic book. The sheriff advised me to lay low because she never forgets.",175.09,6,6,2,"I was raised alongside Mrs. Baker, known in our area as the woman who adored cats. Her grandson attempted to forge a friendship with me, yet he lacked social grace. He departed, leaving behind a message declaring his intent to escape her constant carping. I proposed that we initiate a search for him and involve law enforcement if it became necessary. We discovered him ensconced in the treehouse, engrossed in a graphic novel. The local law enforcement officer counseled me to keep a low profile, as her memory was notoriously unforgiving.",541,136.53285979145,0.2524
12,372,0.4425,"I grew up in a neighborhood with Mrs. Baker, the cat lady. Mrs. Baker's grandson tried to befriend me. I didn't like him because he had poor manners. He left a note saying he was going to run away. Mrs. Baker and I looked for him but couldn't find him. I found him in the treehouse with a comic book. Officer Dawson advised me to lay low. I stayed out of sight as advised.",164.61,8,8,1,"My childhood was spent in proximity to Mrs. Baker, known for her fondness for cats. Her grandson made attempts to forge a friendship with me, which I resisted due to his lack of etiquette. One day, he left behind a message indicating his intention to flee. In response, Mrs. Baker and I embarked on a search, to no avail. Eventually, I discovered him ensconced in the treehouse, engrossed in a graphic novel. Officer Dawson counseled me to keep a low profile, and I heeded his suggestion by remaining inconspicuous.",515,144.79532244064998,0.2812
13,403,0.4206,"I grew up in a neighborhood with Mrs. Baker, the cat lady. Mrs. Baker had a young grandson who tried to befriend me. I didn't like him because he had poor manners. He left a note saying he would run away due to his grandmother's nagging. I helped Mrs. Baker look for him at the old mill. We found him in my treehouse with a comic book. The sheriff advised me to lay low because Mrs. Baker holds grudges.",169.49,7,7,1,"My childhood was spent in proximity to Mrs. Baker, known for her fondness for cats. Her grandson, a boy of tender years, made attempts to forge a friendship with me, but his lack of etiquette made him unlikable in my eyes. One day, he left behind a message expressing his intent to escape his grandmother's constant carping. In an act of assistance, I joined Mrs. Baker in the search for him, which led us to the abandoned mill. Eventually, we discovered him ensconced in my treehouse, engrossed in a graphic novel. Post the incident, the local law enforcement officer counseled me to keep a low profile, hinting at Mrs. Baker's tendency to harbor resentment.",659,140.10626983695,0.2126
14,408,0.471,I grew up in a neighborhood with Mrs. Baker as the cat lady. I was quite the tomboy back then. Mrs. Baker's grandson was trying to befriend me. I didn't like him because of his poor manners. He left a note saying he was running away. Mrs. Baker came to my treehouse with her cat. We went to find him near the old mill. We found him in the treehouse with a comic book. The local sheriff advised me to lay low.,192.16,9,9,1,"My childhood was spent in a community where Mrs. Baker was known for her fondness for cats. During that time, I was known for my boyish antics. Her grandson made attempts to gain my friendship, but I was put off by his lack of etiquette. One day, he left behind a message indicating his intention to run away. Accompanied by her feline companion, Mrs. Baker approached my arboreal hideout. Together, we set out to search for him around the dilapidated mill. Eventually, we discovered him in my treehouse, engrossed in a graphic novel. The town's sheriff suggested that I should keep a low profile.",597,158.71768571014996,0.2659
15,421,0.3899,I grew up in a neighborhood with Mrs. Baker. Mrs. Baker was known as the resident cat lady. Mrs. Baker had a young grandson. I was a tomboy and didn't take to the grandson. The grandson had poor manners. He left a note saying he would run away. Mrs. Baker visited me with a tabby cat. I suggested searching for the grandson. We found his baseball cap near the old mill. The grandson was in my treehouse with a comic book.,164.13,10,10,2,"My childhood was spent in proximity to Mrs. Baker, who was the local aficionado of felines. Her grandson, a little boy, was also part of the neighborhood. As someone who embraced a tomboyish lifestyle, I didn't quite warm up to him, especially given his lack of etiquette. One day, he left behind a message indicating his intent to escape home. During a visit from Mrs. Baker, who brought along a striped tabby, I proposed we initiate a search for her missing grandson. Our quest led us to discover his baseball hat by the dilapidated mill. Eventually, we located him ensconced in my treehouse, engrossed in a graphic novel.",624,130.26082990991998,0.2088
16,425,0.466,"I grew up in a neighborhood with Mrs. Baker, the cat lady. I was a tomboy and her grandson tried to befriend me. I didn't like her grandson because of his poor manners. He left a note saying he would run away due to her nagging. Mrs. Baker and I searched for him but found nothing at the old mill. We found him in the treehouse with a comic book in his hand. Officer Dawson told me to lay low because Mrs. Baker held grudges.",198.05,7,7,2,"My childhood was spent in proximity to Mrs. Baker, known for her fondness for cats. As a girl who preferred rough-and-tumble play, I caught the attention of her grandson, who sought my friendship. His lack of etiquette, however, made him unappealing to me. One day, he left a message expressing his intent to escape his grandmother's constant scolding. Together, Mrs. Baker and I scoured the area for him, even checking the abandoned mill to no avail. Eventually, we discovered him ensconced in the treehouse, engrossed in a comic book. Officer Dawson cautioned me to steer clear of trouble, hinting that Mrs. Baker was not one to easily forget a slight.",654,159.49302293834998,0.2439
17,436,0.4244,I grew up in a neighborhood with Mrs. Baker. Mrs. Baker was the resident cat lady. She had a young grandson. I was a tomboy back then. The grandson tried to befriend me. I didn't like him due to his poor manners. He left a note about running away. Mrs. Baker came to my treehouse worried. I suggested we search for him before calling the police. We found his baseball cap near the mill. He was hiding in the treehouse with a comic book.,185.02,11,11,3,"My childhood was spent in proximity to Mrs. Baker, known throughout our area for her fondness for cats. Her grandson, who was of a tender age, made attempts to forge a friendship with me during my tomboy phase. However, his lack of etiquette made him less than appealing to me. One day, he left behind a message indicating his intent to run away. In a state of concern, Mrs. Baker approached me at my treehouse. I proposed that we initiate a search for him prior to alerting the authorities. Our search led us to discover his baseball cap by the mill. Much to our relief, we found him ensconced in the treehouse, engrossed in a comic book.",639,168.30863952785,0.2634
18,449,0.4336,I grew up in a neighborhood with Mrs. Baker. Mrs. Baker was the resident cat lady. She had adopted at least twenty cats. Mrs. Baker had a young grandson. He was trying to befriend me. I didn't like him due to his poor manners. He left a note saying he would run away. Mrs. Baker came to my treehouse for help. We searched and found no trace of him initially. He was in the treehouse with a comic book. Officer Dawson advised me to stay out of sight.,194.7,11,11,2,"My childhood was spent in proximity to Mrs. Baker, known throughout our area as the cat lady, given her adoption of no fewer than twenty felines. Her grandson, a boy of tender years, made efforts to forge a friendship with me, but his lack of etiquette made him less than appealing. One day, he left behind a message indicating his intent to flee the family home. In a state of concern, Mrs. Baker approached me at my arboreal retreat, seeking assistance. Our initial search yielded nothing, but eventually, we discovered him hidden away in the treehouse, engrossed in a graphic novel. Officer Dawson, meanwhile, counseled me to keep a low profile.",648,153.41604994715,0.2368
19,453,0.4689,"I grew up in a neighborhood with Mrs. Baker, the cat lady. Mrs. Baker's grandson tried to befriend me. I didn't like him because he had poor manners. He left a note saying he was going to run away. Mrs. Baker came to my treehouse with a cat. I suggested we search for him and possibly call the police. We searched near the old mill but found nothing. He was in the treehouse with a comic book. Officer Dawson advised me to lay low and stay out of sight.",212.39,9,9,3,"My childhood was spent in proximity to Mrs. Baker, known for her fondness for cats. Her grandson made attempts to forge a friendship with me, but his lack of etiquette made him unlikable in my eyes. One day, he left behind a message indicating his intention to flee from home. When Mrs. Baker approached my arboreal hideout with a feline companion in tow, I proposed that we initiate a search and consider notifying law enforcement. Our search efforts at the dilapidated mill were in vain. To our surprise, he was back at the treehouse, engrossed in a graphic novel. Officer Dawson counseled me to keep a low profile and remain unseen.",635,175.79649350345,0.2768
20,463,0.4221,"I grew up in a neighborhood with Mrs. Baker, the cat lady. Mrs. Baker had a young grandson who tried to befriend me. I didn't like him because he had poor manners. He left a note saying he was going to run away due to nagging. I helped Mrs. Baker look for him with a plan in mind. We found his baseball cap near the old mill but no other trace. He was later found in the treehouse with a comic book. Officer Dawson advised me to stay out of sight from Mrs. Baker.",195.45,8,8,3,"My childhood was spent in proximity to Mrs. Baker, known for her fondness for cats. Her grandson, a boy of tender years, made attempts to forge a friendship with me, which I resisted due to his lack of etiquette. One day, he left behind a message expressing his intent to escape the constant carping. In response, I joined Mrs. Baker in a search, secretly harboring a strategy. Our search led us to his discarded baseball cap by the decrepit mill, yet he remained elusive. Eventually, he was discovered ensconced in a treehouse, engrossed in a graphic novel. Officer Dawson counseled me to keep my distance from Mrs. Baker thereafter.",634,158.03449249334997,0.2493
21,466,0.4864,"I grew up in a neighborhood with Mrs. Baker, the cat lady. Mrs. Baker had a young grandson trying to befriend me. I didn't like him much because of his poor manners. He left a note saying he would run away due to nagging. Mrs. Baker came to my treehouse with a big old tabby cat. We tried to find him and discovered his baseball cap near the mill. We found him in the treehouse with a comic book. Officer Dawson advised me to stay out of sight because of Mrs. Baker.",226.67,8,8,2,"My childhood was spent in the vicinity of Mrs. Baker, known for her fondness for cats. Her grandson, who was of a similar age, made several attempts to forge a friendship with me, but his lack of etiquette made him less appealing as a companion. One day, he left behind a message expressing his intent to escape the constant criticisms. In search of him, Mrs. Baker approached my arboreal hideout, accompanied by a hefty, mature tabby. Our search led us to his abandoned baseball cap by the mill. Eventually, we located him in the treehouse, engrossed in a graphic novel. Officer Dawson, concerned for my well-being, subtly hinted that I should maintain a distance from Mrs. Baker.",681,178.16785045174998,0.2616
22,478,0.4724,"I grew up in a neighborhood with Mrs. Baker, the cat lady. Mrs. Baker had a young grandson. I was a tomboy back then. The grandson tried to befriend me. I didn't take to him much. He had poor manners. He left a note saying he'd run away. Mrs. Baker came to my treehouse. I suggested we search for him. We searched near the old mill. We found no trace of him there. We returned to the treehouse. He was sitting on a branch with a comic book. Officer Dawson advised me to lay low.",225.8,14,14,2,"My childhood was spent in the vicinity of Mrs. Baker, known for her fondness for cats. She had a grandson who was quite young. During that time, I was quite the tomboy. Her grandson attempted to forge a friendship with me, but I wasn't particularly fond of him due to his lack of good manners. One day, he left a note declaring his intention to run away. In response, Mrs. Baker approached me at my treehouse. I proposed that we initiate a search for him. Our search led us to the vicinity of the dilapidated mill, but he was nowhere to be found. Upon our return to the treehouse, we discovered him perched on a branch, engrossed in a comic book. Officer Dawson gave me a piece of advice to keep a low profile.",710,196.85475157614997,0.2773
23,488,0.4603,I grew up in a neighborhood with Mrs. Baker as the cat lady. She had a young grandson who tried to befriend me. I didn't like him much because he had poor manners. He left a note saying he was going to run away. Mrs. Baker came to my treehouse with her cat. I suggested we look for him and call the police if needed. We found his baseball cap near the old mill but not him. He was actually in the treehouse reading a comic book. Officer Dawson advised me to lay low and stay out of sight.,224.65,9,9,2,"My childhood was spent in a community where Mrs. Baker was known for her fondness for cats. Her grandson, who was quite young, made attempts to forge a friendship with me. However, I wasn't too fond of him due to his lack of good etiquette. One day, he left behind a message indicating his intention to escape from home. In response, Mrs. Baker, accompanied by her feline companion, approached me in my treehouse. I proposed that we initiate a search for him and consider notifying the authorities if it became necessary. During our search, we stumbled upon his baseball hat by the decrepit mill, yet he was nowhere to be found. As it turned out, he was actually hidden away in the treehouse, engrossed in a comic book. Officer Dawson gave me counsel to keep a low profile and remain unseen.",791,199.86678312495,0.2527
24,492,0.4441,"I grew up in a neighborhood with Mrs. Baker, the cat lady. She had adopted over twenty cats. She had a grandson who tried to befriend me. I didn't like him because he had poor manners. He left a note saying he would run away. Mrs. Baker came to my treehouse with a cat. I suggested we search for him before calling the police. We found his cap near the old mill but not him. He was later found in the treehouse reading a comic book. Officer Dawson advised me to lay low because of Mrs. Baker.",218.5,10,10,1,"My childhood was spent near Mrs. Baker, known for her fondness for cats, having taken in more than twenty. Her grandson made attempts at forging a friendship with me, but his lack of etiquette turned me off. One day, he left a message indicating his intention to run away. Mrs. Baker approached my treehouse, a cat in tow, in a state of worry. I proposed we look for him before involving the authorities. His hat was discovered by the dilapidated mill, yet he was nowhere to be seen. Eventually, he turned up in the treehouse, engrossed in a comic. Officer Dawson hinted that it might be wise for me to steer clear of Mrs. Baker's affairs.",639,191.02036665290998,0.2989
25,500,0.4495,Mrs. Baker was the neighborhood cat lady. She had a young grandson who tried to befriend me. I didn't like him because of his poor manners. He left a note saying he would run away. Mrs. Baker came to my treehouse with a cat. I convinced her to search for him together. We searched near the old mill but found nothing. We returned to find him in the treehouse with a comic. The issue seemed resolved for the day. Officer Dawson advised me to stay out of sight. I stayed out of sight like he suggested.,224.75,11,11,1,"Mrs. Baker was well-known in the area for her fondness for cats. Her young grandson made attempts to form a friendship with me, but I was put off by his lack of good manners. One day, he left behind a note indicating his intention to run away. Concerned, Mrs. Baker approached my treehouse, bringing along a feline companion. I managed to persuade her that we should look for him together. Our search took us to the vicinity of the dilapidated mill, but it was in vain. When we got back, we discovered him in the treehouse, engrossed in a comic book. It appeared that the crisis had been averted for the moment. Following the incident, Officer Dawson recommended that I keep a low profile, and I heeded his advice.",714,193.27127837285,0.2707
26,515,0.4492,I grew up in a neighborhood with Mrs. Baker. Mrs. Baker was the resident cat lady. She had at least twenty cats. Mrs. Baker had a young grandson. I was quite the tomboy back then. He was trying to befriend me. I didn't take to him much. He had poor manners. One day he left a note. He was going to run away. Mrs. Baker came to my treehouse. I talked her down. We went to find him. We reached where his baseball cap was. We found him in the treehouse. The local sheriff warned me. I laid low and stayed out of sight.,231.36,17,17,2,"My childhood was spent in close proximity to Mrs. Baker, known throughout our area as the woman who harbored no fewer than twenty felines. Her grandson, a boy of tender years, often sought my companionship, as I was known for my tomboyish ways. However, his lack of etiquette made him less appealing to me. Unexpectedly, he left behind a written message indicating his intent to flee from home. In response, Mrs. Baker approached me at my arboreal retreat, and after a heartfelt conversation, we embarked on a quest to locate him. Our search concluded at the sight of his discarded baseball cap, leading us directly to my own treehouse. Previously, the town's sheriff had issued a cautionary word to me, prompting me to adopt a more inconspicuous presence in the days that followed.",782,137.45693586225,0.1758
27,521,0.4706,"I grew up in a neighborhood with Mrs. Baker, the resident cat lady. Mrs. Baker's grandson tried to befriend me, but I didn't like him due to his poor manners. The grandson left a note saying he would run away because Mrs. Baker nagged about me. Mrs. Baker came to my treehouse with a cat, and I suggested we look for him. We searched near the old mill and found his baseball cap. We returned to the treehouse and found him with a comic book. Officer Dawson advised me to lay low because Mrs. Baker never forgets anything.",245.17,7,7,3,"My childhood was spent in a community where Mrs. Baker, known for her fondness for cats, resided. Her grandson made attempts to forge a friendship with me, which I resisted due to his lack of etiquette. He left behind a message expressing his intent to escape, blaming Mrs. Baker's constant complaints about my behavior. Mrs. Baker approached my treehouse, cat in tow, and I proposed we initiate a search for him. Our hunt led us to the vicinity of the decrepit mill, where we stumbled upon his baseball cap. Upon our return to the treehouse, we discovered him engrossed in a comic book. Officer Dawson counseled me to keep a low profile, as Mrs. Baker's memory was known to be exceptionally retentive.",702,216.42201612674998,0.3083
28,528,0.4719,I grew up in a neighborhood with Mrs. Baker. Mrs. Baker was known as the cat lady. She adopted at least twenty cats. Mrs. Baker had a young grandson. I was quite the tomboy back then. Her grandson tried to befriend me. I didn't like him much due to his poor manners. He left a note planning to run away. The note said she nagged about me. Mrs. Baker came to my treehouse for help. We searched near the old mill. We found his baseball cap but not him. He was in the treehouse reading a comic. Officer Dawson warned me to lay low.,249.19,14,14,1,"My childhood was spent in proximity to Mrs. Baker, who was affectionately referred to as the cat lady due to her caring for no fewer than twenty felines. She had a grandson who was of a young age. As a child, I was known for my tomboyish nature. Her grandson made attempts to forge a friendship with me, but I found his lack of etiquette off-putting. One day, he left behind a note with intentions of escaping, in which he complained that his grandmother scolded him because of my influence. In a quest for assistance, Mrs. Baker approached me at my treehouse. Our search led us to the vicinity of the dilapidated mill, where we discovered his baseball cap, yet he was nowhere to be seen. Ironically, he was back at the treehouse, engrossed in a comic book. Officer Dawson gave me a cautionary advice to keep a low profile.",823,205.72712704084998,0.25
29,530,0.4324,"I grew up in a neighborhood with Mrs. Baker, the cat lady. Mrs. Baker adopted at least twenty cats. She had a young grandson. I was quite the tomboy back then. Her grandson tried to befriend me. I didn't take to him because of his poor manners. He left a note saying he would run away. Mrs. Baker and I searched for him. We found his baseball cap near the old mill. We discovered him in the treehouse club. He was sitting on a branch with a comic book. Officer Dawson warned me to lay low. I stayed out of sight after his warning.",229.15,13,13,1,"My childhood was spent in the vicinity of Mrs. Baker, known for her fondness for cats, having taken in no fewer than twenty. She was the grandmother of a young boy. During that time, I embraced my tomboyish nature. Her grandson made attempts to forge a friendship with me, but his lack of etiquette prevented me from warming up to him. One day, he left behind a message expressing his intent to escape. In a joint effort, Mrs. Baker and I set out to locate him. His baseball hat was discovered by the dilapidated mill, and eventually, we found him perched in our treehouse hideout, engrossed in a comic book. Officer Dawson gave me a cautionary advice to keep a low profile, which I heeded by remaining inconspicuous thereafter.",728,180.80730438975,0.2484
30,549,0.4587,I grew up in a neighborhood with Mrs. Baker. Mrs. Baker was the resident cat lady. Mrs. Baker had a young grandson. I was quite the tomboy back then. Her grandson tried to befriend me. I didn't take to him because he had poor manners. He left a note saying he would run away. Mrs. Baker came to my treehouse with a cat. I talked her down and suggested to search for him. We found his baseball cap near the old mill. He was actually in the treehouse with a comic book. Officer Dawson told me to lay low. I listened and stayed out of sight after that.,251.82,13,13,2,"My childhood was spent in proximity to Mrs. Baker, known throughout our area as the aficionado of felines. She was the grandmother to a young boy. During my youth, I embraced the tomboy lifestyle. Her grandson made attempts to forge a friendship with me, but his lack of etiquette was off-putting. One day, he left a message declaring his intent to escape home. In response, Mrs. Baker approached my arboreal sanctuary, accompanied by a feline companion. I managed to calm her and proposed we initiate a search. His baseball hat was discovered by the dilapidated mill, but he was actually hidden away in my treehouse, engrossed in a graphic novel. Constable Dawson advised me to keep a low profile. Heeding his counsel, I thereafter remained inconspicuous.",756,191.64360424589,0.2535
31,549,0.4326,I grew up in a neighborhood with Mrs. Baker. Mrs. Baker was known as the resident cat lady. Mrs. Baker had a young grandson. I was quite the tomboy back then. Her grandson tried to befriend me. I didn't like him due to his poor manners. He left a note saying he would run away. Mrs. Baker came to my treehouse with a cat. I suggested we look for him before calling the police. We searched near the old mill but found nothing. We returned to find him at the treehouse club. The local sheriff advised me to lay low. I laid low and stayed out of sight.,237.48,13,13,3,"My childhood was spent in proximity to Mrs. Baker, the neighborhood's famed feline enthusiast. She had a grandson who was of a tender age. During that time, I embraced my tomboyish nature. Her grandson made attempts to forge a friendship with me, but his lack of etiquette turned me away. One day, he left behind a message indicating his intent to flee from home. In response, Mrs. Baker approached my arboreal sanctuary, accompanied by a cat. I proposed that we initiate a search for him prior to alerting the authorities. Our search led us to the vicinity of the decrepit mill, yet it yielded no clues. Upon our return, we were surprised to discover him at the treehouse club. Following the incident, the town's sheriff counseled me to maintain a low profile, which I did by remaining inconspicuous.",801,191.97821810025,0.2397
32,568,0.4317,I grew up in a neighborhood with a cat lady named Mrs. Baker. Mrs. Baker had adopted at least twenty cats. She had a young grandson who tried to befriend me. I didn't like him because he had poor manners. He left a note saying he would run away. Mrs. Baker came to my treehouse with a cat. I suggested finding him before calling the police. We searched by the old mill but found nothing. We returned to find him in the treehouse reading comics. The situation was resolved for the day. Officer Dawson advised me to stay out of sight. I followed the advice and laid low.,245.19,12,12,2,"My childhood was spent in the vicinity of a woman known for sheltering numerous felines, whom we referred to as Mrs. Baker. She was the caretaker of no fewer than twenty cats. Her grandson, who was of a similar age to me, made attempts at forging a friendship, but his lack of etiquette made him unappealing to me. One day, he left behind a message indicating his intention to flee from home. In response, Mrs. Baker approached me in my arboreal sanctuary, accompanied by one of her cats. I proposed we initiate a search for him prior to alerting law enforcement. Our search led us to the vicinity of the dilapidated mill, yet it yielded no trace of him. Upon our return, we discovered him engrossed in comic books within the confines of my treehouse. Thus, the crisis was averted for the time being. Officer Dawson counseled me to keep a low profile, which I heeded by maintaining a discreet presence.",902,189.98501588448,0.2106
33,574,0.5019,I grew up in a neighborhood with Mrs. Baker. Mrs. Baker was the resident cat lady. She had at least twenty cats. Mrs. Baker had a young grandson. I was quite the tomboy. He was trying to befriend me. I didn't like him much. He had poor manners. He left a note saying he'd run away. She came to my treehouse. I talked her down from calling the police. We went to look for him. We found his baseball cap near the old mill. He hadn't run away and was at the treehouse club. That resolved it for the day. Officer Dawson advised me to lay low. I laid low and stayed out of sight.,288.11,17,17,3,"My childhood was spent in the vicinity of Mrs. Baker, known for her multitude of feline companions, numbering around twenty. Her grandson, a young boy, made attempts to forge a friendship with me, despite my tomboyish nature and my aversion to him due to his lack of etiquette. One day, he left a message indicating his intention to flee from home. Mrs. Baker, in a state of panic, approached me in my treehouse sanctuary. I managed to persuade her against alerting the authorities and together we embarked on a search. Our journey led us to discover his baseball cap by the dilapidated mill, but as it turned out, he hadn't actually escaped; he was merely at the treehouse club. The incident was thus put to rest for the time being. Following the events, Officer Dawson counseled me to maintain a low profile, which I heeded by keeping myself concealed.",854,209.03186797119,0.2448
34,580,0.4151,"I grew up in a neighborhood with Mrs. Baker. Mrs. Baker had at least twenty cats. Mrs. Baker had a young grandson. I was a tomboy and he tried to befriend me. I didn't like him much because of his poor manners. One day, he left a note saying he'd run away. Mrs. Baker came to my treehouse with a cat. I suggested we look for him and maybe call the police. We searched and found his baseball cap near the old mill. We returned to find him in the treehouse with a comic book. The local sheriff advised me to stay out of sight. I laid low and stayed out of sight after that incident.",240.74,12,12,1,"My childhood was spent in proximity to Mrs. Baker and her collection of no fewer than twenty felines. Her grandson, a boy of tender years, made attempts to forge a friendship with me, despite my tomboyish nature. His lack of etiquette, however, left me with little affection for him. On an unexpected day, he vanished, leaving behind only a written message of his intentions to escape. In response, Mrs. Baker approached my arboreal sanctuary, a cat in tow, and I proposed a search party, not excluding the possibility of involving law enforcement. Our efforts led us to discover his baseball cap abandoned by the decrepit mill. Yet, upon our return, we were greeted by the sight of him, ensconced in the treehouse, engrossed in a graphic novel. Post-event, the town's sheriff counseled me to maintain a low profile. Heeding this advice, I made a conscious effort to remain inconspicuous from that point forward.",912,189.08650593695,0.2073
